zone_id,zone_name,school_type,shade_score,lat,lon,area_m2
216,General Zone 216,General,0.48372490874968,37.436218000000004,-122.15990729999999,1.205107999992147e-08
217,General Zone 217,General,0.4925399698159268,37.428791351184344,-122.15652011635359,7.105554999982696e-09
218,General Zone 218,General,0.5346491405118025,37.43563464627788,-122.18013273077484,5.478499999873317e-09
219,General Zone 219,General,0.5249632899047215,37.43476416681968,-122.17968156310722,1.3636100000886926e-09
220,General Zone 220,General,0.5449223410494178,37.42914403415353,-122.17953875354846,3.393499999999921e-08
221,General Zone 221,General,0.5257612892300343,37.4370375,-122.17626,3.5169000000312207e-08
222,General Zone 222,General,0.5168308603335472,37.42914624654784,-122.1792326771278,2.987249999934579e-08
223,General Zone 223,General,0.46936747678280927,37.43816449999999,-122.17425,6.80700000040902e-09
224,General Zone 224,General,0.49677158030594337,37.43556134999999,-122.18022970000003,5.76358999978492e-09
225,General Zone 225,General,0.4865202367681726,37.42767684420041,-122.15768154216427,3.6425000001238874e-09
226,General Zone 226,General,0.48439896433790836,37.43459174028098,-122.17982958101636,9.847610000184578e-09
227,General Zone 227,General,0.5573010554752446,37.43101983569963,-122.15623230690805,1.8207749999513653e-09
228,General Zone 228,General,0.49930977246667607,37.42880370850926,-122.18149741571708,1.1013500000189646e-08
229,General Zone 229,General,0.5492046555177114,37.4282845,-122.15846950000001,1.581999999966194e-09
230,General Zone 230,General,0.5231138625997263,37.434784699999994,-122.17976240000002,2.7657999996516036e-09
231,General Zone 231,General,0.5394811303541649,37.435964,-122.15965874999999,5.454350000079818e-09
232,General Zone 232,General,0.5102637093105192,37.42708820306513,-122.17876960536397,6.525000000340845e-10
233,General Zone 233,General,0.5176903884626359,37.4359655641145,-122.17967754345925,4.863044999729482e-09
234,General Zone 234,General,0.5092517693818864,37.427317349386215,-122.17895018319167,1.7649999997526755e-09
235,General Zone 235,General,0.47952429877980446,37.430708909120334,-122.15670341959246,8.468730000204396e-09
236,General Zone 236,General,0.5322452115261506,37.429125634365676,-122.18160822353761,3.1342159999081236e-08
237,General Zone 237,General,0.4880772362440856,37.4354109709408,-122.18043584392782,5.506000000217626e-09
238,General Zone 238,General,0.46243159664314537,37.42900624696356,-122.17914420152947,6.6690000001821485e-09
239,General Zone 239,General,0.5245472295907168,37.434778900000005,-122.18027220000002,2.64700000017688e-09
240,General Zone 240,General,0.4777110679407049,37.43056031220285,-122.15690276439514,1.893000000339129e-09
241,General Zone 241,General,0.5540458584352914,37.4290085,-122.179456,1.1644000000277976e-08
242,Maintenance Shops (09-140),General,0.5553928577002587,37.42829158776949,-122.15860744448001,3.139800000054373e-08
243,General Zone 243,General,0.5514864390220449,37.43502637914887,-122.18022067453832,1.8763499998512167e-09
244,General Zone 244,General,0.4970158700255444,37.428792264276865,-122.1794131000918,5.6113499998583207e-08
245,General Zone 245,General,0.46154566165288674,37.43815867889332,-122.17471901630718,1.1150500000503278e-08
246,General Zone 246,General,0.5528318562587725,37.43463663101154,-122.18003472293884,3.55588999965642e-09
247,General Zone 247,General,0.5028184148317314,37.432673441064836,-122.15872855000002,2.4870689999640857e-08
248,General Zone 248,General,0.5566654819043669,37.435393499999996,-122.1802044,5.768000000198499e-09
249,General Zone 249,General,0.5563619977089252,37.432108200246006,-122.16346305723658,2.0324999998869647e-09
250,General Zone 250,General,0.545300945546736,37.42707353017062,-122.17886671868497,1.2014999998660402e-09
251,General Zone 251,General,0.48944488920695856,37.434864245712916,-122.18037129455466,6.626465000283669e-09
